"no","machine","side","runTime","Wechat_received","Coin_received","status"
1,"6786f3831d7a750bac397d8967b81044_5","NA","0:1:10",0,7,"SUCCESS"
1,"6786f3831d7a750bac397d8967b81044_3","NA","0:1:10",0,7,"SUCCESS"
1,"6786f3831d7a750bac397d8967b81044_2","NA","0:1:10",0,7,"SUCCESS"
1,"6786f3831d7a750bac397d8967b81044_4","NA","0:1:10",0,7,"SUCCESS"
1,"6786f3831d7a750bac397d8967b81044_1","NA","0:1:10",0,7,"SUCCESS"
2,"6786f3831d7a750bac397d8967b81044_5","NA","0:1:10",0,7,"SUCCESS"
2,"6786f3831d7a750bac397d8967b81044_3","NA","0:1:10",0,7,"SUCCESS"
2,"6786f3831d7a750bac397d8967b81044_2","NA","0:1:10",0,7,"SUCCESS"
2,"6786f3831d7a750bac397d8967b81044_4","NA","0:1:10",0,7,"SUCCESS"
2,"6786f3831d7a750bac397d8967b81044_1","NA","0:1:10",0,7,"SUCCESS"
3,"6786f3831d7a750bac397d8967b81044_5","NA","0:1:10",0,7,"SUCCESS"
3,"6786f3831d7a750bac397d8967b81044_3","NA","0:1:10",0,7,"SUCCESS"
3,"6786f3831d7a750bac397d8967b81044_2","NA","0:1:10",0,7,"SUCCESS"
3,"6786f3831d7a750bac397d8967b81044_4","NA","0:1:10",0,7,"SUCCESS"
3,"6786f3831d7a750bac397d8967b81044_1","NA","0:1:10",0,7,"SUCCESS"
4,"6786f3831d7a750bac397d8967b81044_5","NA","0:1:10",0,7,"SUCCESS"
4,"6786f3831d7a750bac397d8967b81044_3","NA","0:1:10",0,7,"SUCCESS"
4,"6786f3831d7a750bac397d8967b81044_2","NA","0:1:10",0,7,"SUCCESS"
4,"6786f3831d7a750bac397d8967b81044_4","NA","0:1:10",0,7,"SUCCESS"
4,"6786f3831d7a750bac397d8967b81044_1","NA","0:1:10",0,7,"SUCCESS"
5,"6786f3831d7a750bac397d8967b81044_5","NA","0:1:10",0,7,"SUCCESS"
5,"6786f3831d7a750bac397d8967b81044_3","NA","0:1:10",0,7,"SUCCESS"
5,"6786f3831d7a750bac397d8967b81044_2","NA","0:1:10",0,7,"SUCCESS"
5,"6786f3831d7a750bac397d8967b81044_4","NA","0:1:10",0,7,"SUCCESS"
5,"6786f3831d7a750bac397d8967b81044_1","NA","0:1:10",0,7,"SUCCESS"
6,"6786f3831d7a750bac397d8967b81044_5","NA","0:1:10",0,7,"SUCCESS"
6,"6786f3831d7a750bac397d8967b81044_3","NA","0:1:10",0,7,"SUCCESS"
6,"6786f3831d7a750bac397d8967b81044_2","NA","0:1:10",0,7,"SUCCESS"
6,"6786f3831d7a750bac397d8967b81044_4","NA","0:1:10",0,7,"SUCCESS"
6,"6786f3831d7a750bac397d8967b81044_1","NA","0:1:10",0,7,"SUCCESS"
7,"6786f3831d7a750bac397d8967b81044_5","NA","0:1:10",0,7,"SUCCESS"
